",","7000185"
".","6202435"
"»","2482554"
"ja","2304645"
"olla","2233338"
"se","1202801"
"joka","898733"
"—","847389"
":","773752"
"«","682320"
"hän","663095"
"tämä","576197"
";","549424"
""","537826"
"että","514139"
")","512048"
"!","511007"
"ei","500898"
"p.","464819"
"(","363432"
"tulla","338324"
"minä","301727"
"saada","297988"
"niin","279623"
"1","252311"
"maa","222911"
"?","222023"
"i","216196"
"m.","210390"
"mutta","201962"
"2","201887"
"antaa","191795"
"mikä","181956"
"„","180932"
"3","179596"
"oma","176178"
"'","173438"
"tehdä","173169"
"p","169672"
"kaikki","168372"
"sekä","165114"
"kuin","161879"
"l","158211"
"*","155145"
"muu","152899"
"kun","149049"
"/","147884"
"jo","145104"
"nyt","143416"
"jos","142906"
"toinen","137714"
"4","136158"
"pp","134921"
"ottaa","131485"
"a","130268"
"aika","129702"
"A.","126833"
"5","125563"
"pitää","125242"
"-","125049"
"suuri","124670"
"sanoa","122656"
"asia","121338"
"Suomi","117320"
"I.","117105"
"n","115509"
"10","114622"
"kaupunki","110436"
"j.","101808"
"mies","100152"
"myös","98438"
"itse","98426"
"uusi","97994"
"6","97625"
"I","95250"
"pitäjä","94905"
"tuo","92651"
"sama","92637"
"8","92441"
"talo","91449"
"9","91420"
"t","91107"
"markka","89898"
"mainita","89242"
"Helsinki","88578"
"e.","88388"
"7","87930"
"kello","87465"
"sinä","86786"
"owat","85410"
"herra","83874"
"o","83755"
"12","81617"
"n.","81376"
"ilmoittaa","80553"
"lukea","80077"
"ci","79534"
"ennen","77187"
"s.","76864"
"och","76599"
"kanssa","75723"
"K.","75200"
"osa","75119"
"Turku","73319"
"yksi","73118"
"mikään","71249"
"eli","71155"
"sillä","70650"
"täällä","69958"
"20","69956"
"hinta","69217"
"tieto","69199"
"k.","68806"
"kautta","68016"
"G.","67992"
"kansa","67924"
"lapsi","67622"
"työ","66291"
"puoli","66016"
"H.","64682"
"tahtoa","63671"
"siis","63390"
"koko","63310"
"W.","62962"
"moni","62723"
"kuu","62693"
"50","62612"
"seurata","61944"
"nähdä","61813"
"25","61634"
"s","61021"
"toimi","59566"
">","59088"
"määrätä","58564"
"suomalainen","58235"
"mennä","58163"
"t.","58019"
"11","58009"
"lehti","57815"
"F.","57401"
"15","57076"
"myydä","57056"
"mukaan","57042"
"E.","57009"
"ta","56865"
"paikka","56590"
"kuulua","56243"
"tietää","55876"
"lähteä","55591"
"v.","54656"
"M.","54627"
"pidetä","54620"
"ettäei","54607"
"lääni","54510"
"P.","53957"
"eräs","53795"
"m","53615"
"kaksi","53447"
"tila","52830"
"syy","52258"
"panna","51389"
"tahi","50838"
"j","50680"
"waan","50573"
"etta","50308"
"vuosi","50076"
"e","50015"
"koulu","49752"
"Pietari","49685"
"kylä","49615"
"muutama","49511"
"ainoastaan","49472"
"Kuopio","49258"
"aina","49146"
"ihminen","48975"
"seura","48375"
"af","48326"
"mieli","48180"
"päättää","48140"
"pieni","48047"
"raha","47776"
"ia","47623"
"y.","47292"
