",","7000185"
".","6202435"
"»","2482554"
"ja","2294270"
"on","1085446"
"—","847389"
":","773752"
"«","682320"
";","549424"
""","537826"
")","512048"
"!","511007"
"että","505673"
"p.","464819"
"oli","367322"
"(","363432"
"ei","286958"
"niin","272085"
"joka","258636"
"1","250162"
"se","227387"
"?","222023"
"hän","218552"
"i","213518"
"m.","210390"
"sen","196180"
"2","191241"
"„","180932"
"3","173591"
"'","173438"
"kuin","169624"
"sekä","163595"
"ole","155146"
"*","155145"
"l","154965"
"/","147884"
"jo","135151"
"pp","134921"
"4","131838"
"sitä","129795"
"a","128933"
"jotka","127543"
"A.","126833"
"mutta","125382"
"5","125051"
"-","125049"
"nyt","118051"
"I.","117105"
"n","114453"
"kun","113702"
"10","113201"
"jota","110573"
"omat","109763"
"hänen","104974"
"siitä","103948"
"tämän","102563"
"ollut","102247"
"jos","102092"
"j.","101808"
"tulee","100824"
"olisi","98867"
"sillä","97274"
"maan","97019"
"6","95348"
"ne","93869"
"8","91408"
"myös","90439"
"t","90126"
"9","89217"
"e.","88388"
"Suomen","88110"
"jonka","87208"
"I","86411"
"p:nä","86324"
"7","86063"
"owat","85410"
"o","82330"
"12","81038"
"ci","79534"
"kello","78762"
"och","76599"
"Mutta","76576"
"K.","75200"
"mitä","74303"
"eli","73637"
"ennen","69744"
"kanssa","69585"
"20","69554"
"kautta","69318"
"kaikki","68905"
"k.","68806"
"G.","67992"
"jossa","65774"
"H.","64682"
"W.","62962"
"50","62380"
"25","61400"
"siihen","60764"
"en","60579"
"täällä","60208"
"tämä","59332"
">","59088"
"siis","58173"
"t.","58019"
"11","57836"
"F.","57401"
"s","57283"
"E.","57009"
"ta","56865"
"15","56841"
"he","56329"
"niitä","55368"
"p","55347"
"olla","55120"
"mukaan","54883"
"M.","54627"
"P.","53957"
"m","52718"
"pitää","52475"
"siinä","51832"
"mitään","50712"
"waan","50573"
"Hän","50556"
"minä","50539"
"tahi","50509"
"etta","50308"
"e","49177"
"j","49133"
"antaa","48823"
"af","48326"
"tätä","48269"
"saa","48192"
"tässä","48144"
"ettei","48086"
"S.","47870"
"ia","47623"
"markkaa","47305"
"y.","47292"
"koko","46876"
"30","46631"
"n.","46432"
"joita","46143"
"ainoastaan","46039"
"w.","45901"
"saada","45424"
"aina","45056"
"eikä","44282"
"wielä","43894"
"myöskin","43369"
"Ia","43360"
"^","43273"
"tai","43265"
"heidän","43056"
"niinkuin","42981"
"josta","42914"
"l.","42885"
"itse","41165"
"setä","40719"
"k:lo","40542"
"kaupungin","40442"
"puolesta","40427"
"Se","40255"
"den","40240"
"luin","39523"
"meidän","39195"
"siellä","38865"
"f","38668"
"tuli","38358"
"Helsingissä","37846"
"n:o","37580"
"jotta","37393"
"M","37297"
"taas","37170"
"paljon","37128"
"sitten","37031"
"pois","36995"
"18","36875"
"kuitenkin","36598"
"Jos","36485"
"tuin","36384"
"14","36305"
"ensi","36289"
"N:o","35890"
"r","35584"
"talossa","35501"
"tähän","35173"
"N.","34944"
"Kun","34540"
"ou","34479"
"H","34416"
"k","34124"
"40","34087"
"klo","33902"
"silloin","33853"
"13","33674"
"Turun","33616"
"noin","33528"
"tullut","33445"
"häntä","33408"
"O.","33354"
"niiden","32913"
"kyllä","32538"
"v.","32304"
"16","32066"
"oleman","31994"
"asti","30867"
"ynnä","30481"
"Tämä","30154"
"jälkeen","29937"
"saanut","29837"
"a.","29777"
"minun","29730"
"till","29393"
"toinen","29372"
"i.","29230"
"C.","29149"
"ilman","29126"
"eri","29096"
"s.","28994"
"me","28790"
"täten","28693"
"pidetään","28651"
"tästä","28584"
"hra","28482"
"enemmän","28231"
"<","28187"
"ottaa","28149"
"koska","28005"
"sanoi","27845"
"V","27602"
"_","27403"
"22","27392"
"28","27389"
"24","27357"
"olen","27277"
"pitäjässä","27258"
"17","27157"
"för","27125"
"joista","26987"
"v","26913"
"yksi","26853"
"kylässä","26601"
